Exam_Component_ID,Title,Date_of_Test,Time_of_Test,Building,Room,Instructor,class,class_level
851,Infrastructure & Fac Rem,12-18-2024,6:00PM-8:30PM,Online,NULL,Venkiteela,CE,615
101,Construction Cost Estmt,12-16-2024,6:00PM-8:30PM,CULM,111,Oraedu,CE,616
851,Construction Cost Estmt,12-21-2024,3:00PM-5:30PM,Online,NULL,Venkiteela,CE,616
101,Hydrology,12-17-2024,6:00PM-8:30PM,CKB,207,Ding,CE,621
101,Prestressed Concrete Dsn,12-19-2024,6:00PM-8:30PM,KUPF,209,Navalurkar,CE,632
101,Fracture Mech Materials,12-16-2024,6:00PM-8:30PM,FMH,409,Wecharatana,CE,635
851,Mech & Stability of Structures,12-21-2024,3:00PM-5:30PM,Online,NULL,Taher,CE,636
851,Foundation Engineering,12-16-2024,6:00PM-8:30PM,Online,NULL,Riegel,CE,642
101,Applied Engineering Geology,12-17-2024,6:00PM-8:30PM,CKB,126,Kolawole,CE,644
101,Flow Through Soils,12-19-2024,6:00PM-8:30PM,CKB,114,Meegoda,CE,648
101,Special Topics,12-18-2024,6:00PM-8:30PM,CKB,315,Bandelt,CE,702
103,Special Topics,12-17-2024,6:00PM-8:30PM,CKB,330,Wang,CE,702
851,Methods Impmnt In Constr,12-21-2024,6:00PM-8:30PM,Online,NULL,Slaughter,CE,711
1,Construction Procedures I,12-18-2024,8:30AM-11:00AM,CKB,219,Valoura,CET,313
101,Construction Procedures I,12-17-2024,6:00PM-8:30PM,MALL,PC39,McCall,CET,313
1,Construction Computing,12-19-2024,2:30PM-5:00PM,GITC,2400,Feng,CET,317
101,Construction Computing,12-20-2024,6:00PM-8:30PM,FENS,160,Hawes,CET,317
101,Constructn Regs & Standa,12-17-2024,6:00PM-8:30PM,CKB,314,Wiggins,CET,322
101,Structural Systems,12-19-2024,6:00PM-8:30PM,FMH,108,Porcello,CET,331
101,Cost Estimating,12-18-2024,6:00PM-8:30PM,FMH,313,Gottko,CET,411
101,Contructn Proj Managemnt,12-16-2024,6:00PM-8:30PM,KUPF,207,Wiggins,CET,415
1,Construction Testing,12-20-2024,2:30PM-5:00PM,FMH,412,Washington,CET,431
1,Material and Energy Balances,12-17-2024,8:30AM-11:00AM,TIER,411B,Cimino,CHE,201
1,Chem Engineer Thermodynamics I,12-18-2024,11:30AM-2:00PM,TIER,411B,Xu,CHE,230
1,Fluid Flow,12-18-2024,2:30PM-5:00PM,CKB,207,Venerus,CHE,260
1,Chemical Process Safety,12-19-2024,2:30PM-5:00PM,FMH,321,Cimino,CHE,312
HM1,Chemical Process Safety,12-19-2024,2:30PM-5:00PM,FMH,321,Cimino,CHE,312
1,Chem Eng Thermodynam II,12-20-2024,2:30PM-5:00PM,CKB,314,Reid,CHE,342
HM1,Chem Eng Thermodynam II,12-20-2024,2:30PM-5:00PM,CKB,314,Reid,CHE,342
1,Kinetics & Reactor Desgn,12-17-2024,2:30PM-5:00PM,FMH,321,Baltzis,CHE,349
1,Separation Processes I,12-20-2024,2:30PM-5:00PM,FMH,314,Cimino,CHE,360
101,Chemical Engr Computing,12-18-2024,6:00PM-8:30PM,TIER,411B,Voronov,CHE,365
1,Heat And Mass Transfer,12-16-2024,2:30PM-5:00PM,TIER,105,Sebastian,CHE,370
1,Process Dynamics And Control,12-18-2024,2:30PM-5:00PM,KUPF,104,Reid,CHE,489
1,Chemical Engineering Lab I,12-19-2024,11:30AM-2:00PM,TIER,411B,Rankin,CHE,495
1,Chemical Engineering Lab II,12-18-2024,2:30PM-5:00PM,TIER,411B,Molodetsky,CHE,496
101,Kintcs Of Rctns Rctr Dgn,12-18-2024,6:00PM-8:30PM,TIER,106,Wang,CHE,612
101,Math Methods In Chem Eng,12-17-2024,6:00PM-8:30PM,CKB,223,Bilgili,CHE,626
101,Adv Membrane Separation Proc,12-19-2024,6:00PM-8:30PM,TIER,112,Sirkar,CHE,710
1,Fund Of Chemical Principles I,12-18-2024,8:30AM-11:00AM,CKB,217,Edens,CHEM,121
3,Fund Of Chemical Principles I,12-18-2024,8:30AM-11:00AM,CKB,106,Edens,CHEM,121
